_time,frequency,percentage
2025-03-10 23:00:00+00:00,0,0.0
2025-03-11 00:00:00+00:00,0,0.0
2025-03-11 01:00:00+00:00,0,0.0
2025-03-11 02:00:00+00:00,0,0.0
2025-03-11 03:00:00+00:00,0,0.0
2025-03-11 04:00:00+00:00,3,1.3274336283185841
2025-03-11 05:00:00+00:00,8,3.5398230088495577
2025-03-11 06:00:00+00:00,2,0.8849557522123894
2025-03-11 07:00:00+00:00,0,0.0
2025-03-11 08:00:00+00:00,8,3.5398230088495577
2025-03-11 11:00:00+00:00,48,21.238938053097346
2025-03-11 13:00:00+00:00,46,20.353982300884958
2025-03-11 15:00:00+00:00,48,21.238938053097346
2025-03-11 16:00:00+00:00,10,4.424778761061947
2025-03-11 17:00:00+00:00,0,0.0
2025-03-11 18:00:00+00:00,0,0.0
2025-03-11 19:00:00+00:00,0,0.0
2025-03-11 20:00:00+00:00,0,0.0
2025-03-11 21:00:00+00:00,0,0.0
2025-03-11 22:00:00+00:00,0,0.0
2025-03-11 23:00:00+00:00,0,0.0
2025-03-12 00:00:00+00:00,0,0.0
2025-03-12 01:00:00+00:00,0,0.0
2025-03-12 02:00:00+00:00,0,0.0
2025-03-12 03:00:00+00:00,0,0.0
2025-03-12 04:00:00+00:00,3,1.3274336283185841
2025-03-12 05:00:00+00:00,8,3.5398230088495577
2025-03-12 06:00:00+00:00,3,1.3274336283185841
2025-03-12 07:00:00+00:00,0,0.0
2025-03-12 08:00:00+00:00,12,5.3097345132743365
2025-03-12 14:00:00+00:00,36,15.929203539823009
2025-03-12 15:00:00+00:00,35,15.486725663716813
2025-03-12 16:00:00+00:00,10,4.424778761061947
2025-03-12 17:00:00+00:00,0,0.0
2025-03-12 18:00:00+00:00,0,0.0
2025-03-12 19:00:00+00:00,0,0.0
2025-03-12 20:00:00+00:00,0,0.0
2025-03-12 21:00:00+00:00,0,0.0
2025-03-12 22:00:00+00:00,0,0.0
2025-03-12 23:00:00+00:00,0,0.0
2025-03-13 00:00:00+00:00,0,0.0
2025-03-13 01:00:00+00:00,0,0.0
2025-03-13 02:00:00+00:00,0,0.0
2025-03-13 03:00:00+00:00,0,0.0
2025-03-13 04:00:00+00:00,6,2.6548672566371683
2025-03-13 05:00:00+00:00,8,3.5398230088495577
2025-03-13 06:00:00+00:00,2,0.8849557522123894
2025-03-13 07:00:00+00:00,0,0.0
2025-03-13 08:00:00+00:00,5,2.2123893805309733
2025-03-13 12:00:00+00:00,38,16.8141592920354
2025-03-13 13:00:00+00:00,51,22.566371681415927
2025-03-13 14:00:00+00:00,45,19.911504424778762
2025-03-13 15:00:00+00:00,19,8.4070796460177
2025-03-13 16:00:00+00:00,3,1.3274336283185841
2025-03-13 17:00:00+00:00,3,1.3274336283185841
2025-03-13 18:00:00+00:00,0,0.0
2025-03-13 19:00:00+00:00,0,0.0
2025-03-13 20:00:00+00:00,0,0.0
2025-03-13 21:00:00+00:00,0,0.0
2025-03-13 22:00:00+00:00,0,0.0
2025-03-13 23:00:00+00:00,0,0.0
2025-03-14 00:00:00+00:00,0,0.0
2025-03-14 01:00:00+00:00,0,0.0
2025-03-14 02:00:00+00:00,0,0.0
2025-03-14 03:00:00+00:00,0,0.0
2025-03-14 04:00:00+00:00,3,1.3274336283185841
2025-03-14 05:00:00+00:00,6,2.6548672566371683
2025-03-14 06:00:00+00:00,15,6.637168141592921
2025-03-14 07:00:00+00:00,21,9.29203539823009
